id,description,url,district,street,house_nr,zip,town
212,Seniorengruppe der Griechische Demokratische Gemeinde Berlin e.V. im Griechischen Kulturzentrum,,Steglitz-Zehlendorf,Mittelstraße,33,12167,Berlin
213,Seniorenklub Hakenfelde,,Spandau,Helen-Keller-Weg,10,13587,Berlin
214,Seniorenklub Lindenufer,,Spandau,Mauerstraße,10,13597,Berlin
215,Seniorenklub Südpark,,Spandau,Weverstraße,38,13595,Berlin
216,Seniorenwohnhaus Wilhelmstadt,,Spandau,Adamstraße,27,13595,Berlin
217,Sozialamt,https://www.berlin.de/ba-mitte/politik-und-verwaltung/aemter/amt-fuer-soziales/,Mitte,Müllerstraße,146,13353,Berlin
218,Sozialdiakonische Arbeit Lichtenberg-Oberspree GmbH ,https://www.berlin.de/adressen/verein/sozialdiakonische-jugendarbeit-lichtenberg-ev-4f1439efb4fc475f0bef0c00.html,Lichtenberg,Pfarrstraße,97,10317,Berlin
219,Sozio-Kulturelles Zentrum Ratz-Fatz,https://www.berlin.de/ba-treptow-koepenick/politik-und-verwaltung/aemter/amt-fuer-weiterbildung-und-kultur/kultur/artikel.90678.php,Treptow-Köpenick,Schnellerstraße,81,12439,Berlin
220,Spandauer Zitadelle,https://www.berlin.de/sehenswuerdigkeiten/3561606-3558930-zitadelle-spandau.html,Spandau,Am Juliusturm,64,13599,Berlin
221,Spielplatz Finsterwalder Straße 13,,Reinickendorf,Finsterwalder Straße,13,13435,Berlin
222,Spielplatz Senftenberger Ring 12,,Reinickendorf,Senftenberger Ring,12,13439,Berlin
223,Spielplatz Senftenberger Ring 44e,,Reinickendorf,Senftenberger Ring,44,13435,Berlin
224,Spielplatz Senftenberger Ring 70,,Reinickendorf,Senftenberger Ring,70,13435,Berlin
225,Spielplatz Wilhelmsruher Damm 111,,Reinickendorf,Wilhelmsruher Damm,111,13439,Berlin
226,Sport und Lehrschwimmhalle Schöneberg,https://www.berlin.de/special/sport-und-fitness/adressen/schwimmbad/sport-und-lehrschwimmhalle-schoeneberg-4f14478db4fc475f0be95101.html,Tempelhof-Schöneberg,Sachsendamm,11,10829,Berlin
227,Sportanlage am Schäfersee,,Reinickendorf,Rütlistraße,19,13407,Berlin
228,Sportanlage Scharnweberstraße,,Reinickendorf,Uranusweg,34,13405,Berlin
229,Sportanlage Schönfließer Straße,,Reinickendorf,Schönfließer Straße,19,13465,Berlin
230,Sportanlage Thurgauer Straße,,Reinickendorf,Thurgauer Straße,55,13407,Berlin
231,Sportforum Eisschnelllaufhalle,https://www.berlin.de/sen/inneres/sport/sportstaetten/sportforum/,Lichtenberg,Weißenseer Weg,53,13053,Berlin
232,Sportforum Eissporthalle,https://www.berlin.de/sen/inneres/sport/sportstaetten/sportforum/,Lichtenberg,Weißenseer Weg,53,13053,Berlin
233,Sportforum Große Halle,https://www.berlin.de/sen/inneres/sport/sportstaetten/sportforum/,Lichtenberg,Weißenseer Weg,53,13053,Berlin
234,Sportforum Lili-Henoch-Halle,https://www.berlin.de/sen/inneres/sport/sportstaetten/sportforum/,Lichtenberg,Fritz-Lesch-Straße,32,13053,Berlin
235,Sportforum Olympiastützpunkt,https://www.berlin.de/sen/inneres/sport/sportstaetten/sportforum/,Lichtenberg,Fritz-Lesch-Straße,29,13053,Berlin
236,Sportforum Pförtner / Parkplatz,https://www.berlin.de/sen/inneres/sport/sportstaetten/sportforum/,Lichtenberg,Weißenseer Weg,53,13053,Berlin
237,Sportforum Trainingshalle,https://www.berlin.de/sen/inneres/sport/sportstaetten/sportforum/,Lichtenberg,Weißenseer Weg,53,13053,Berlin
238,Sporthalle Hatzfeldtallee,,Reinickendorf,Hatzfeldtallee,19,13509,Berlin
239,SportJugendBildungsZentrum Lücke,,Lichtenberg,Lückstraße,18,10317,Berlin
240,SportJugendClub Buch,,Pankow,Karower Chaussee,169,13125,Berlin
241,SportJugendZentrum ,,Pankow,Blankenfelder Straße,50,13127,Berlin
242,Sportkomplex,,Lichtenberg,Paul Heyse Str,25,10407,Berlin
243,Sportplatz Aroser Allee,,Reinickendorf,Aroser Allee,184,13407,Berlin
244,Sportplatz Berliner Straße,,Reinickendorf,Berliner Straße,75,13507,Berlin
